Date and Time,City,Weather,Temperature (F),Wind (mph),Car Accidents,,,,,
2/13/2025 4:30pm,Tallahassee,Rainy,62.91,4.61,8,,,,,
2/13/2025 4:30pm,Jacksonville,Rainy,69.03,9.22,7,,,,,
2/13/2025 4:30pm,Gainesville,Misty,71.44,6.91,5,,,,,
2/13/2025 4:30pm,Orlando,Cloudy,86.72,10.36,19,,,,,
2/13/2025 4:30pm,Tampa,Cloudy,81.9,12.66,21,,,,,
2/13/2025 4:30pm,Fort Myers,Cloudy,83.32,14.97,4,,,,,
2/13/2025 4:30pm,Miami,Cloudy,81.86,13.8,8,,,,,
2/14/2025 12:00pm,Tallahassee,Cloudy,65.01,9.22,6,,,,,
2/14/2025 12:00pm,Jacksonville,Cloudy,65.86,18.41,2,,,,,
2/14/2025 12:00pm,Gainesville,Cloudy,69.31,1.99,3,,,,,
2/14/2025 12:00pm,Orlando,Cloudy,74.79,13.8,13,,,,,
2/14/2025 12:00pm,Tampa,Cloudy,78.08,9.22,14,,,,,
2/14/2025 12:00pm,Fort Myers,Cloudy,81.07,8.05,2,,,,,
2/14/2025 12:00pm,Miami,Cloudy,82.74,9.22,10,,,,,
2/15/2025 2:30pm,Tallahassee,Cloudy,73.09,12.66,5,,,,,
2/15/2025 2:30pm,Jacksonville,Cloudy,77.52,12.66,4,,,,,
2/15/2025 2:30pm,Gainesville,Cloudy,82.31,10.36,4,,,,,
2/15/2025 2:30pm,Orlando,Cloudy,82.87,13.8,9,,,,,
2/15/2025 2:30pm,Tampa,Cloudy,84.63,12.66,18,,,,,
2/15/2025 2:30pm,Fort Myers,Cloudy,84.18,14.97,3,,,,,
2/15/2025 2:30pm,Miami,Cloudy,81.41,16.11,5,,,,,
2/16/2025 11:15am,Tallahassee,Cloudy,56.7,6.91,7,,,,,
2/16/2025 11:15am,Jacksonville,Cloudy,78.44,26.46,4,,,,,
2/16/2025 11:15am,Gainesville,Cloudy,77.58,12.66,7,,,,,
2/16/2025 11:15am,Orlando,Cloudy,79,18.41,11,,,,,
2/16/2025 11:15am,Tampa,Cloudy,78.98,18.41,17,,,,,
2/16/2025 11:15am,Fort Myers,Clear,79.99,21.85,3,,,,,
2/16/2025 11:15am,Miami,Cloudy,81.73,14.97,7,,,,,
2/17/2025 4:30pm,Tallahassee,Smokey,61.5,4.61,7,,,,,
2/17/2025 4:30pm,Jacksonville,Clear,57.85,9.22,5,,,,,
2/17/2025 4:30pm,Gainesville,Clear,64.22,4.61,4,,,,,
2/17/2025 4:30pm,Orlando,Clear,66.69,13.8,26,,,,,
2/17/2025 4:30pm,Tampa,Cloudy,72.23,8.05,18,,,,,
2/17/2025 4:30pm,Fort Myers,Clear,78.39,4.61,0,,,,,
2/17/2025 4:30pm,Miami,Cloudy,76.12,11.5,13,,,,,
2/18/2025 4:15pm,Tallahassee,Cloudy,64.72,8.05,0,,,,,
2/18/2025 4:15pm,Jacksonville,Clear,64.26,10.36,5,,,,,
2/18/2025 4:15pm,Gainesville,Clear,72.12,3.44,2,,,,,
2/18/2025 4:15pm,Orlando,Cloudy,72.73,10.36,12,,,,,
2/18/2025 4:15pm,Tampa,Cloudy,77.95,11.5,29,,,,,
2/18/2025 4:15pm,Fort Myers,Clear,79.54,8.05,3,,,,,
2/18/2025 4:15pm,Miami,Cloudy,78.55,12.66,10,,,,,
2/19/2025 4:30pm,Tallahassee,Cloudy,54.88,8.05,3,,,,,
2/19/2025 4:30pm,Jacksonville,Misty,58.69,10.36,10,,,,,
2/19/2025 4:30pm,Gainesville,Rainy,61.93,11.5,3,,,,,
2/19/2025 4:30pm,Orlando,Cloudy,75.22,14.97,14,,,,,
2/19/2025 4:30pm,Tampa,Rainy,73.76,9.22,16,,,,,
2/19/2025 4:30pm,Fort Myers,Clear,80.19,17.27,0,,,,,
2/19/2025 4:30pm,Miami,Cloudy,82.2,16.11,19,,,,,
2/20/2025 3:30pm,Tallahassee,Clear,51.1,16.11,3,,,,,
2/20/2025 3:30pm,Jacksonville,Cloudy,56.08,19.57,4,,,,,
2/20/2025 3:30pm,Gainesville,Cloudy,60.21,3,4,,,,,
2/20/2025 3:30pm,Orlando,Cloudy,59.98,7,10,,,,,
2/20/2025 3:30pm,Tampa,Cloudy,64.09,4.61,17,,,,,
2/20/2025 3:30pm,Fort Myers,Cloudy,73.94,13.8,1,,,,,
2/20/2025 3:30pm,Miami,Cloudy,75.6,12.66,13,,,,,
2/21/2025 3:30pm,Tallahassee,Clear,51.93,5.75,2,,,,,
2/21/2025 3:30pm,Jacksonville,Cloudy,49.41,13.8,4,,,,,
2/21/2025 3:30pm,Gainesville,Clear,56.43,10.36,0,,,,,
2/21/2025 3:30pm,Orlando,Cloudy,59.04,13.8,13,,,,,
2/21/2025 3:30pm,Tampa,Cloudy,64.78,12.66,12,,,,,
2/21/2025 3:30pm,Fort Myers,Clear,72.64,12.66,2,,,,,
2/21/2025 3:30pm,Miami,Cloudy,72.61,17.27,11,,,,,
2/22/2025 3:30pm,Tallahassee,Cloudy,64.56,7,1,,,,,
2/22/2025 3:30pm,Jacksonville,Cloudy,62.67,8.05,2,,,,,
2/22/2025 3:30pm,Gainesville,Cloudy,66.24,3.44,1,,,,,
2/22/2025 3:30pm,Orlando,Cloudy,69.69,10.36,7,,,,,
2/22/2025 3:30pm,Tampa,Cloudy,71.38,5.75,8,,,,,
2/22/2025 3:30pm,Fort Myers,Cloudy,74.79,8.05,0,,,,,
2/22/2025 3:30pm,Miami,Cloudy,72.63,10.36,12,,,,,
2/23/2025 4:00pm,Tallahassee,Cloudy,57.63,1.36,1,,,,,
2/23/2025 4:00pm,Jacksonville,Cloudy,67.87,8.05,4,,,,,
2/23/2025 4:00pm,Gainesville,Cloudy,73.44,1.01,1,,,,,
2/23/2025 4:00pm,Orlando,Clear,74.91,8.05,10,,,,,
2/23/2025 4:00pm,Tampa,Cloudy,75.54,6.91,12,,,,,
2/23/2025 4:00pm,Fort Myers,Clear,80.24,10.36,1,,,,,
2/23/2025 4:00pm,Miami,Cloudy,75.31,3,8,,,,,
2/24/2025 3:15pm,Tallahassee,Cloudy,60.46,5.75,0,,,,,
2/24/2025 3:15pm,Jacksonville,Misty,56.26,10.36,2,,,,,
2/24/2025 3:15pm,Gainesville,Misty,57.29,4.61,3,,,,,
2/24/2025 3:15pm,Orlando,Rainy,64.06,5.75,13,,,,,
2/24/2025 3:15pm,Tampa,Rainy,62.94,10.36,30,,,,,
2/24/2025 3:15pm,Fort Myers,Rainy,68.18,5.75,0,,,,,
2/24/2025 3:15pm,Miami,Rainy,71.62,16.11,20,,,,,
2/25/2025 4:30pm,Tallahassee,Cloudy,75.6,9.22,1,,,,,
2/25/2025 4:30pm,Jacksonville,Cloudy,71.02,6.91,1,,,,,
2/25/2025 4:30pm,Gainesville,Cloudy,73.67,4.61,0,,,,,
2/25/2025 4:30pm,Orlando,Cloudy,65.77,10.36,12,,,,,
2/25/2025 4:30pm,Tampa,Cloudy,69.84,14.97,22,,,,,
2/25/2025 4:30pm,Fort Myers,Cloudy,73.44,16.11,0,,,,,
2/25/2025 4:30pm,Miami,Cloudy,78.1,14.97,12,,,,,
2/26/2025 4:30pm,Tallahassee,Clear,79.65,4,2,,,,,
2/26/2025 4:30pm,Jacksonville,Smokey,77.41,9.22,6,,,,,
2/26/2025 4:30pm,Gainesville,Clear,80.76,6.91,2,,,,,
2/26/2025 4:30pm,Orlando,Clear,79.27,5.75,18,,,,,
2/26/2025 4:30pm,Tampa,Cloudy,78.01,6.91,23,,,,,
2/26/2025 4:30pm,Fort Myers,Cloudy,77.83,9.22,0,,,,,
2/26/2025 4:30pm,Miami,Cloudy,77.38,11.5,14,,,,,
2/27/2025 3:15pm,Tallahassee,Clear,78.71,10.36,0,,,,,
2/27/2025 3:15pm,Jacksonville,Smokey,79.36,18.41,6,,,,,
2/27/2025 3:15pm,Gainesville,Cloudy,78.24,14.97,2,,,,,
2/27/2025 3:15pm,Orlando,Cloudy,80.56,9.22,12,,,,,
2/27/2025 3:15pm,Tampa,Cloudy,76.05,12.66,12,,,,,
2/27/2025 3:15pm,Fort Myers,Cloudy,77.7,12.66,0,,,,,
2/27/2025 3:15pm,Miami,Cloudy,80.01,11.5,9,,,,,
2/28/2025 3:45pm,Tallahassee,Smokey,75.61,11.5,6,,,,,
2/28/2025 3:45pm,Jacksonville,Cloudy,73.31,9.22,5,,,,,
2/28/2025 3:45pm,Gainesville,Clear,76.87,4.61,8,,,,,
2/28/2025 3:45pm,Orlando,Clear,77.43,8.05,21,,,,,
2/28/2025 3:45pm,Tampa,Cloudy,77.25,9.22,17,,,,,
2/28/2025 3:45pm,Fort Myers,Clear,79.07,3.44,1,,,,,
2/28/2025 3:45pm,Miami,Cloudy,78.33,6.91,16,,,,,
3/1/2025 4:30pm,Tallahassee,Smokey,79.66,16.11,5,,,,,
3/1/2025 4:30pm,Jacksonville,Clear,77.74,14.97,5,,,,,
3/1/2025 4:30pm,Gainesville,Clear,78.28,12.66,6,,,,,
3/1/2025 4:30pm,Orlando,Clear,73.26,10.36,15,,,,,
3/1/2025 4:30pm,Tampa,Cloudy,69.62,6.91,16,,,,,
3/1/2025 4:30pm,Fort Myers,Clear,74.66,10.36,0,,,,,
3/1/2025 4:30pm,Miami,Cloudy,78.26,11.5,8,,,,,
3/2/2025 7:00pm,Tallahassee,Clear,57.33,4.61,1,,,,,
3/2/2025 7:00pm,Jacksonville,Cloudy,53.46,14.97,2,,,,,
3/2/2025 7:00pm,Gainesville,Clear,60.71,1.99,0,,,,,
3/2/2025 7:00pm,Orlando,Clear,63.75,14.97,13,,,,,
3/2/2025 7:00pm,Tampa,Clear,64.83,6.91,9,,,,,
3/2/2025 7:00pm,Fort Myers,Cloudy,67.96,1.01,1,,,,,
3/2/2025 7:00pm,Miami,Cloudy,73.29,11.5,6,,,,,
3/3/2025 3:45pm,Tallahassee,Cloudy,66.81,3,1,,,,,
3/3/2025 3:45pm,Jacksonville,Cloudy,65.53,13.8,4,,,,,
3/3/2025 3:45pm,Gainesville,Cloudy,72.84,11.5,0,,,,,
3/3/2025 3:45pm,Orlando,Cloudy,74.77,12.66,18,,,,,
3/3/2025 3:45pm,Tampa,Clear,77.72,5.75,22,,,,,
3/3/2025 3:45pm,Fort Myers,Clear,76.16,6.91,0,,,,,
3/3/2025 3:45pm,Miami,Cloudy,77.27,14.97,7,,,,,
3/4/2025 4:20pm,Tallahassee,Cloudy,76.68,19.57,2,,,,,
3/4/2025 4:20pm,Jacksonville,Cloudy,73.71,21.85,3,,,,,
3/4/2025 4:20pm,Gainesville,Cloudy,77.99,12.66,2,,,,,
3/4/2025 4:20pm,Orlando,Cloudy,75.54,19.57,15,,,,,
3/4/2025 4:20pm,Tampa,Cloudy,80.82,11.5,18,,,,,
3/4/2025 4:20pm,Fort Myers,Cloudy,79.63,13.8,0,,,,,
3/4/2025 4:20pm,Miami,Cloudy,74.41,20.71,20,,,,,
3/5/2025 4:30pm,Tallahassee,Clear,73.71,27.63,0,,,,,
3/5/2025 4:30pm,Jacksonville,Cloudy,78.39,21.85,5,,,,,
3/5/2025 4:30pm,Gainesville,Cloudy,74.48,5.99,3,,,,,
3/5/2025 4:30pm,Orlando,Cloudy,71.33,13.8,14,,,,,
3/5/2025 4:30pm,Tampa,Cloudy,71.74,13.8,18,,,,,
3/5/2025 4:30pm,Fort Myers,Cloudy,72.72,19.57,2,,,,,
3/5/2025 4:30pm,Miami,Cloudy,82.33,17.27,15,,,,,
3/6/2025 3:00pm,Tallahassee,Smokey,64.65,18.41,1,,,,,
3/6/2025 3:00pm,Jacksonville,Cloudy,65.3,23.02,4,,,,,
3/6/2025 3:00pm,Gainesville,Clear,66.74,13.8,3,,,,,
3/6/2025 3:00pm,Orlando,Clear,68.29,17.27,14,,,,,
3/6/2025 3:00pm,Tampa,Clear,64.26,17.27,17,,,,,
3/6/2025 3:00pm,Fort Myers,Clear,68.83,17.27,0,,,,,
3/6/2025 3:00pm,Miami,Clear,76.28,5.99,11,,,,,
3/7/2025 6:00pm,Tallahassee,Cloudy,63.46,5.99,2,,,,,
3/7/2025 6:00pm,Jacksonville,Cloudy,66.72,9.22,9,,,,,
3/7/2025 6:00pm,Gainesville,Cloudy,71.2,1.01,2,,,,,
3/7/2025 6:00pm,Orlando,Clear,74.68,9.22,19,,,,,
3/7/2025 6:00pm,Tampa,Clear,71.49,8.05,21,,,,,
3/7/2025 6:00pm,Fort Myers,Clear,71.06,10.36,3,,,,,
3/7/2025 6:00pm,Miami,Cloudy,72.54,9.22,24,,,,,
3/8/2025 11:30am,Tallahassee,Cloudy,64.18,1.01,2,,,,,
3/8/2025 11:30am,Jacksonville,Cloudy,65.03,6.91,1,,,,,
3/8/2025 11:30am,Gainesville,Rainy,62.06,4.61,2,,,,,
3/8/2025 11:30am,Orlando,Clear,72.93,5.01,14,,,,,
3/8/2025 11:30am,Tampa,Cloudy,71.91,12.66,3,,,,,
3/8/2025 11:30am,Fort Myers,Cloudy,75.83,10.36,0,,,,,
3/8/2025 11:30am,Miami,Cloudy,80.33,8.05,9,,,,,
3/9/2025 4:50pm,Tallahassee,Rainy,66.9,1.99,3,,,,,
3/9/2025 4:50pm,Jacksonville,Misty,62.46,12.66,0,,,,,
3/9/2025 4:50pm,Gainesville,Cloudy,74.8,9.22,2,,,,,
3/9/2025 4:50pm,Orlando,Cloudy,82.63,5.75,8,,,,,
3/9/2025 4:50pm,Tampa,Cloudy,80.73,13.8,16,,,,,
3/9/2025 4:50pm,Fort Myers,Cloudy,82.06,12.66,1,,,,,
3/9/2025 4:50pm,Miami,Cloudy,84.61,11.5,7,,,,,
3/10/2025 5:00pm,Tallahassee,Cloudy,58.6,13.8,0,,,,,
3/10/2025 5:00pm,Jacksonville,Cloudy,70.09,20.71,6,,,,,
3/10/2025 5:00pm,Gainesville,Cloudy,67.87,18.41,2,,,,,
3/10/2025 5:00pm,Orlando,Cloudy,73.94,21.85,12,,,,,
3/10/2025 5:00pm,Tampa,Cloudy,68.86,18.41,16,,,,,
3/10/2025 5:00pm,Fort Myers,Cloudy,70.48,16.11,0,,,,,
3/10/2025 5:00pm,Miami,Cloudy,81.63,19.57,20,,,,,
3/11/2025 3:15pm,Tallahassee,Clear,75.74,5.99,0,,,,,
3/11/2025 3:15pm,Jacksonville,Clear,74.75,4.61,4,,,,,
